clinic_name,clinic_id,question,answer,website,voice assistant
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b55,Do I need a referral from my doctor to see an audiologist?,"No, you do not a referral to come in to see us. Just give us a call and we'll make sure you're seen as quickly as possible.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b56,How much does a hearing test cost?,The cost varies depending on the type of test and insurance coverage. A comprehensive hearing evaluation is $75 to $100 depending on your age and services needed. There is no charge for people aged 65 and older.  A tinnitus evaluation is $125.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b57,Are hearing tests covered by insurance?,Many insurance plans cover diagnostic hearing tests when ordered for medical reasons. Coverage for routine screenings or hearing aids varies by plan.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b58,How long does a hearing test take?,"A full hearing evaluation usually takes 30 to 60 minutes, depending on the complexity of your case.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b59,What should I expect at my first appointment?,"We’ll review your hearing and medical history, examine your ears, and perform a hearing test. If needed, we’ll discuss results and treatment options. The appointment takes 30 to 60 minutes, depending on the complexity of your case.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b60,Do you clean ears or remove earwax?,"Yes, we provide professional earwax removal when appropriate. It’s quick, safe, and much safer than doing it at home.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b61,What are the signs I might need a hearing test?,"Common signs include difficulty following conversations, frequently asking people to repeat themselves, turning up the TV, or feeling that people mumble.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b62,Do you provide pediatric hearing tests?,"Yes, we test children 7 and up using age-appropriate methods and equipment.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b63,What brands of hearing aids do you carry?,We work with several leading manufacturers to ensure the best technology will deliver the best results for you.,FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b64,How much do hearing aids cost?,"Prices vary by hearing needs, style and technology, and start at $2,000 per device. We’ll help you choose options that fit your budget and needs.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b65,Are hearing aids covered by insurance?,"Some insurance plans cover part of the cost, but many do not. We’ll check your benefits and explain financing or payment plan options.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b66,Do you offer payment plans or financing?,"Yes, we have financing options to make hearing care more affordable. We can discuss details during your appointment.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b67,Do you do hearing aid repairs?,"Yes, we provide in-office repairs and also send devices to the manufacturer if needed. If you need a loaner while your hearing aids out for repair, we will do our best to loan you a set. ",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b68,Can I get batteries for my hearing aids at your office?,"Yes, we stock a full range of batteries and accessories for most hearing aids.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b69,Do you sell rechargeable hearing aids?,"Yes, many newer models are rechargeable. We’ll show you options during your consultation.",FALSE,TRUE
Calgary Ear Center,5e256c93-1369-4f6b-9106-456ab08a1b70,Can I try hearing aids before I buy them?,"Yes, we offer a 60 day trial period so you can test the devices in your daily life before committing.",FALSE,TRUE
